Marka Kodu	Tip Kodu	Marka Adı	Tip Adı	2019	2018	2017	2016	2015	2014	2013	2012
111	1143	OPEL	ASTRA SEDAN 1.6 DIZEL 110 SPORT	0	0	0	0	0	750636	0	0
111	1142	OPEL	ASTRA SEDAN 1.6 DIZEL 136 BUSINESS	0	0	0	0	731650	672740	0	0
111	1145	OPEL	ASTRA SEDAN 1.6 DIZEL 136 COSMO	0	0	0	0	898454	755672	0	0
111	1140	OPEL	ASTRA SEDAN 1.6 DIZEL 136 EDITION	0	0	0	0	708326	651094	0	0
111	1144	OPEL	ASTRA SEDAN 1.6 DIZEL 136 SPORT	0	0	0	0	840423	694999	0	0
111	1261	OPEL	ASTRA SPORTS TOURER 1.4 150 AT6 S&S DYNAMIC	0	1098730	990827	908743	0	0	0	0
111	1138	OPEL	ASTRA SPORTS TOURER 1.6 DIZEL 136	0	0	0	0	730966	690358	0	0
111	1263	OPEL	ASTRA SPORTSTOURER 1.4 150 AT6 S&S EXCELLENCE	0	1120657	1018572	944500	0	0	0	0
94	1029	MITSUBISHI	ASX 1.6 INSTYLE DIZEL	0	0	962614	907252	798626	0	0	0
94	1031	MITSUBISHI	ASX 1.6 INTENSE DIZEL	0	0	995809	940507	830183	0	0	0
94	1028	MITSUBISHI	ASX 1.6 INVITE DIZEL	0	0	0	0	763798	0	0	0
19	1077	SEAT	ATECA 1.0 TSI 115 S&S ECOMOTIVE REFERENCE	0	0	0	1121594	0	0	0	0
94	1021	MITSUBISHI	ATTRAGE 1.2 INTENSE	0	0	0	0	493262	426216	0	0
94	1022	MITSUBISHI	ATTRAGE 1.2 INTENSE CVT	0	0	0	0	520866	453066	0	0
94	1025	MITSUBISHI	ATTRAGE 1.2 INTENSE PLUS	0	0	0	565167	509675	0	0	0
94	1026	MITSUBISHI	ATTRAGE 1.2 INTENSE PLUS CVT	0	0	0	594301	582698	0	0	0
144	1149	TOYOTA	AURIS 1.4 D-4D PREMIUM NAVI	0	0	1026006	994253	920398	0	0	0
144	1105	TOYOTA	AURIS 1.4 D-4D TOUCH	0	0	0	0	876088	816306	0	0
144	1106	TOYOTA	AURIS 1.4 D-4D TOUCH M/M	0	0	0	0	913009	852191	0	0
144	1107	TOYOTA	AURIS 1.4 D-4D TOUCH SKYPACK	0	0	0	0	927778	866570	0	0
144	1108	TOYOTA	AURIS 1.4 D-4D TOUCH SKYPACK M/M	0	0	0	0	986844	902479	0	0
144	1102	TOYOTA	AURIS 1.6 TOUCH	0	0	0	0	837960	780382	0	0
144	1103	TOYOTA	AURIS 1.6 TOUCH MULTIDRIVE S	0	0	0	0	876088	816306	0	0
144	1104	TOYOTA	AURIS 1.6 TOUCH SKYPACK MULTIDRIVE S	0	0	0	0	933969	870984	0	0
144	1096	TOYOTA	AURIS TS 1.4 D-4D ADVANCE	0	1085061	1038541	1001612	927778	859387	0	0
144	1097	TOYOTA	AURIS TS 1.4 D-4D ADVANCE SKYPACK	0	0	1068072	1038541	979475	916846	0	0
144	1098	TOYOTA	AURIS TS 1.4 D-4D PREMIUM	0	0	1068632	1042419	983883	922673	0	0
